,Unnamed: 0,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft
36,36,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,2,4252.336448598131
37,37,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,3,7250.580046403712
38,38,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3,4350.387596899225
39,39,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,2,3937.0078740157483
40,40,Murugeshpalya,2 BHK,1296.0,2.0,2.0,81.0,2,6250.0
41,41,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,3,3030.3030303030305
42,42,other,1 BHK,600.0,1.0,0.0,38.0,1,6333.333333333333
43,43,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,1,7272.727272727273
44,44,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,2,6897.665960292769
45,45,HSR Layout,8 Bedroom,600.0,9.0,2.0,200.0,8,33333.333333333336
46,46,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2,3402.061855670103
47,47,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,2,6498.971898560658
48,48,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,2,16250.0
49,49,other,2 BHK,869.0,2.0,1.0,36.0,2,4142.692750287687
50,50,other,2 BHK,1270.0,2.0,1.0,50.0,2,3937.0078740157483
51,51,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3,5928.143712574851
52,52,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,3,4527.363184079602
53,53,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,2,6329.113924050633
54,54,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,3,4687.5
55,55,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,2,3666.6666666666665
56,57,other,2 BHK,1500.0,2.0,2.0,185.0,2,12333.333333333334
57,58,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0,6,10660.980810234541
58,59,other,2 BHK,840.0,2.0,2.0,45.0,2,5357.142857142857
59,60,other,3 Bedroom,4395.0,3.0,2.0,240.0,3,5460.750853242321
60,61,other,2 BHK,845.0,2.0,1.0,55.0,2,6508.87573964497
61,62,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,4,11403.508771929824
62,63,Varthur,2 BHK,1160.0,2.0,2.0,44.0,2,3793.103448275862
63,64,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0,8,4666.666666666667
64,65,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0,2,5636.363636363636
65,66,Gunjur,2 BHK,1140.0,2.0,3.0,43.0,2,3771.9298245614036
66,67,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0,2,4672.131147540984
67,68,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,85.0,8,6296.2962962962965
68,69,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68,2,3649.7512437810947
69,70,other,3 Bedroom,500.0,3.0,2.0,100.0,3,20000.0
70,71,Begur Road,2 BHK,1358.0,2.0,1.0,80.58,2,5933.726067746687
71,72,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,3,6437.221159974506
72,73,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,2,5645.1612903225805
73,74,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,3,6701.771182383915
74,75,Kothannur,2 BHK,1206.0,2.0,1.0,48.23,2,3999.1708126036483
75,76,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,2,3478.2608695652175
76,77,other,3 BHK,2511.0,3.0,3.0,205.0,3,8164.078056551175
77,78,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22.0,2,4782.608695652174
78,79,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0,6,5681.818181818182
79,80,other,3 BHK,1660.0,2.0,2.0,105.0,3,6325.301204819277
80,82,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,2,5882.35294117647
81,83,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,3,4588.679245283019
82,84,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,3,6804.536357571715
83,85,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0,6,7000.0
84,86,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,3,5285.285285285286
85,87,Dasanapura,2 BHK,708.0,2.0,2.0,37.0,2,5225.988700564972
86,88,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,2,5477.358490566037
87,89,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,160.0,6,22535.211267605635
88,90,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,2,7000.0
89,91,Electronic City,2 BHK,1000.0,2.0,1.0,28.88,2,2888.0
90,92,other,3 BHK,1450.0,2.0,2.0,70.0,3,4827.586206896552
91,93,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0,4,12916.666666666666
92,94,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,2,6172.83950617284
93,95,Domlur,3 BHK,1540.0,3.0,2.0,90.0,3,5844.1558441558445
94,96,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,4,8465.791292328957
95,97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,3,3609.0225563909776
96,98,other,2 BHK,1200.0,2.0,1.0,65.0,2,5416.666666666667
97,99,other,3 Bedroom,1200.0,3.0,1.0,90.0,3,7500.0
98,100,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,3,5515.587529976019
99,101,Chandapura,2 BHK,650.0,1.0,1.0,17.0,2,2615.3846153846152
100,102,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,3,6250.0
101,103,other,2 BHK,1007.0,2.0,2.0,43.0,2,4270.109235352532
102,104,other,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667
103,105,other,2 BHK,966.0,2.0,2.0,49.9,2,5165.631469979296
104,106,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,3,6012.269938650306
105,107,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,3,13963.414634146342
106,108,other,2 BHK,782.0,2.0,2.0,55.68,2,7120.204603580562
107,109,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,2,5300.0
108,110,other,3 BHK,1800.0,3.0,3.0,120.0,3,6666.666666666667
109,111,other,3 BHK,1413.0,2.0,2.0,75.0,3,5307.855626326964
110,112,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,2,4651.433691756272
111,113,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,3,3000.0
112,114,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0,4,6081.081081081081
113,115,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,3,5606.728073688426
114,116,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,3,4155.8441558441555
115,117,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,3,5205.431754874652
116,118,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,2,6818.181818181818
117,119,Hennur Road,2 Bedroom,276.0,3.0,3.0,23.0,2,8333.333333333334
118,120,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,3,8409.250175192712
119,121,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,3,9704.02717127608
120,122,Hebbal,4 BHK,5611.5,4.0,0.0,477.0,4,8500.400962309543
121,123,Shampura,4 BHK,2650.0,4.0,2.0,150.0,4,5660.377358490566
122,124,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,3,5344.773790951638
123,125,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,2,3238.095238095238
124,126,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,3,4062.5
125,127,other,2 BHK,945.0,2.0,1.0,54.0,2,5714.285714285715
126,128,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,2,5200.0
127,129,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,115.0,7,12105.263157894737
128,130,other,3 BHK,1870.0,3.0,3.0,110.0,3,5882.35294117647
129,131,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,3,4687.5
130,132,Electronic City,2 BHK,880.0,1.0,1.0,16.5,2,1875.0
131,133,other,4 Bedroom,1200.0,4.0,0.0,210.0,4,17500.0
132,134,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,3,5407.166123778502
133,135,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,2,6000.0
134,136,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0,2,4779.411764705882
135,137,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005,2,5030.740568234746
136,138,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4,3,3937.5
137,139,other,3 BHK,1260.0,2.0,2.0,85.05,3,6750.0
138,140,Hennur Road,8 Bedroom,5000.0,8.0,2.0,250.0,8,5000.0
139,141,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0,5,6983.606557377049
140,142,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,3,6717.635392341896
141,143,ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0,2,6000.0
142,144,Anandapura,2 BHK,1167.0,2.0,1.0,43.76,2,3749.7857754927163
143,145,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225.0,7,5625.0
144,146,Kothanur,3 BHK,1828.0,3.0,2.0,110.0,3,6017.505470459519
145,147,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,2,3932.5842696629215
146,148,other,3 BHK,1612.0,3.0,3.0,46.74,3,2899.5037220843674
147,149,other,6 Bedroom,1034.0,5.0,2.0,185.0,6,17891.682785299807
148,150,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31,3,5339.766081871345
149,151,Kannamangala,2 BHK,957.0,2.0,1.0,58.0,2,6060.606060606061
150,152,Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0,3,3520.0
151,153,other,3 BHK,2795.0,4.0,2.0,235.0,3,8407.871198568873
152,154,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,2,4444.444444444444
153,155,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6,2,3000.0
154,156,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667
155,157,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,3,7780.979827089337
156,158,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0,3,7073.170731707317
157,159,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,760.0,4,20266.666666666668
158,160,other,3 BHK,1350.0,2.0,3.0,48.0,3,3555.5555555555557
159,161,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0,2,3010.348071495767
160,162,other,3 BHK,1904.0,3.0,1.0,150.0,3,7878.151260504202
161,163,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0,4,10000.0
162,164,other,3 BHK,2000.0,3.0,1.0,175.0,3,8750.0
163,165,Sarjapur,2 BHK,1242.5,2.0,0.0,43.49,2,3500.201207243461
164,166,other,3 BHK,1425.0,2.0,2.0,75.0,3,5263.1578947368425
165,167,Electronic City,3 BHK,1500.0,2.0,1.0,64.5,3,4300.0
166,168,Electronic City,2 BHK,1060.0,2.0,1.0,60.0,2,5660.377358490566
167,169,other,3 BHK,1470.0,2.0,2.0,70.0,3,4761.9047619047615
168,170,other,6 BHK,1300.0,6.0,0.0,99.0,6,7615.384615384615
169,171,Attibele,1 BHK,450.0,1.0,1.0,11.0,1,2444.4444444444443
170,172,Electronic City,2 BHK,1152.0,2.0,1.0,64.5,2,5598.958333333333
171,173,Electronic City,3 BHK,1350.0,2.0,1.0,56.0,3,4148.148148148148
172,174,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,3,4193.548387096775
173,175,other,3 Bedroom,1500.0,3.0,2.0,100.0,3,6666.666666666667
174,176,Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,85.0,5,14166.666666666666
175,177,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0,1,3500.0
176,178,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0,1,9503.54609929078
177,179,Electronic City,2 BHK,770.0,1.0,1.0,36.0,2,4675.324675324675
178,180,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,2,4106.280193236715
179,181,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0,3,9117.64705882353
180,182,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0,3,6763.059701492537
181,183,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0,3,6455.399061032864
182,184,Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2,4859.813084112149
183,185,other,3 Bedroom,1846.0,3.0,2.0,300.0,3,16251.354279523293
184,186,other,2 BHK,1340.0,2.0,2.0,55.7,2,4156.7164179104475
185,187,Electronic City,2 BHK,1025.0,2.0,1.0,46.0,2,4487.804878048781
186,188,KR Puram,2 BHK,1277.5,2.0,0.0,56.8,2,4446.183953033268
187,189,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,2,4333.333333333333
188,190,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0,4,4888.888888888889
189,191,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0,3,5161.290322580645
190,192,Bellandur,4 Bedroom,1200.0,5.0,2.0,325.0,4,27083.333333333332
191,193,other,7 Bedroom,1800.0,7.0,1.0,250.0,7,13888.888888888889
192,194,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,2,5000.0
193,195,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,2,7385.079125847777
194,196,Kothanur,2 BHK,1186.0,2.0,2.0,58.0,2,4890.387858347386
195,197,other,3 Bedroom,1783.0,3.0,1.0,115.0,3,6449.8037016264725
196,198,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,3,4000.0
197,199,Nagasandra,2 BHK,980.0,2.0,1.0,48.0,2,4897.959183673469
198,200,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0,2,6381.322957198444
199,201,other,3 BHK,912.0,2.0,1.0,70.0,3,7675.438596491228
200,202,Whitefield,2 BHK,1225.0,2.0,2.0,47.6,2,3885.714285714286
201,203,Whitefield,2 BHK,1075.0,2.0,1.0,53.0,2,4930.232558139535
202,204,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,3,4285.714285714285
203,205,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,3,3798.751950078003
204,206,Kogilu,3 BHK,1909.0,3.0,2.0,88.0,3,4609.743321110529
205,207,Panathur,2 BHK,1359.0,2.0,1.0,87.0,2,6401.766004415011
206,208,other,2 BHK,1207.0,2.0,2.0,43.5,2,3603.976801988401
207,209,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0,4,10944.700460829494
208,210,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428.0,4,15017.543859649122
209,211,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,3,4075.2351097178685
210,212,other,3 BHK,1798.0,3.0,2.0,89.0,3,4949.944382647386
211,213,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,3,5307.796610169492
212,214,other,3 BHK,1580.0,3.0,3.0,100.0,3,6329.113924050633
213,215,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,2,5019.305019305019
214,216,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0,6,3916.6666666666665
215,217,Electronic City,1 BHK,589.0,1.0,1.0,27.0,1,4584.040747028863
216,218,other,3 BHK,1415.0,3.0,3.0,78.0,3,5512.367491166077
217,219,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29,3,5500.279798545048
218,220,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,3,6994.963626189144
219,221,Koramangala,3 BHK,1475.0,2.0,3.0,90.0,3,6101.6949152542375
220,222,other,4 BHK,2000.0,4.0,1.0,75.5,4,3775.0
221,223,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28,2,4500.0
222,225,other,3 BHK,2405.0,4.0,2.0,260.0,3,10810.81081081081
223,226,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,2,6666.666666666667
224,227,other,2 Bedroom,1500.0,2.0,1.0,115.0,2,7666.666666666667
225,228,Hebbal,3 BHK,1900.0,3.0,2.0,119.0,3,6263.1578947368425
226,229,Dommasandra,2 BHK,805.0,2.0,1.0,22.14,2,2750.3105590062114
227,230,Budigere,2 BHK,1153.0,2.0,2.0,56.4,2,4891.587163920208
228,231,other,2 BHK,1148.0,2.0,2.0,60.0,2,5226.480836236934
229,232,other,2 BHK,1110.0,2.0,2.0,55.0,2,4954.954954954955
230,233,Electronic City,2 BHK,1100.0,2.0,2.0,42.0,2,3818.181818181818
231,234,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0,2,8527.131782945737
232,235,other,3 BHK,1500.0,2.0,1.0,65.0,3,4333.333333333333
233,236,other,2 BHK,1080.0,2.0,2.0,39.0,2,3611.1111111111113
234,237,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0,3,6673.564407656492
235,238,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0,5,4285.714285714285
236,239,other,2 BHK,1060.0,2.0,2.0,60.0,2,5660.377358490566
237,240,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247
238,241,other,8 Bedroom,2600.0,8.0,2.0,180.0,8,6923.076923076923
239,242,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247
240,243,other,3 BHK,1644.0,3.0,3.0,84.0,3,5109.489051094891
241,244,other,2 BHK,1285.0,2.0,3.0,72.5,2,5642.023346303502
242,245,Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0,3,7500.0
243,246,Electronic City,2 BHK,910.0,2.0,1.0,40.0,2,4395.604395604396
244,247,Kothanur,3 BHK,1577.0,3.0,1.0,70.0,3,4438.807863031072
245,248,other,3 Bedroom,4050.0,3.0,2.0,280.0,3,6913.580246913581
246,249,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0,3,7644.628099173554
247,250,Chandapura,2 BHK,800.0,1.0,1.0,20.0,2,2500.0
248,251,other,2 BHK,1060.0,2.0,2.0,55.0,2,5188.679245283019
249,252,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0,2,7322.834645669292
250,253,other,2 BHK,900.0,2.0,2.0,22.5,2,2500.0
251,254,other,2 Bedroom,1280.0,2.0,1.0,69.0,2,5390.625
252,255,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0,4,7916.666666666667
253,256,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0,2,3512.1951219512193
254,257,Electronic City,2 BHK,1108.0,2.0,1.0,63.0,2,5685.9205776173285
255,258,other,5 Bedroom,1200.0,5.0,2.0,170.0,5,14166.666666666666
256,259,other,3 BHK,3045.0,3.0,2.0,170.0,3,5582.922824302134
257,260,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,300.0,4,10344.827586206897
258,261,Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5,3,5033.333333333333
259,262,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9,2,3389.96138996139
260,263,Budigere,2 BHK,1162.0,2.0,1.0,59.9,2,5154.9053356282275
261,264,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2,2,4753.623188405797
262,265,Attibele,4 Bedroom,1600.0,4.0,0.0,52.8,4,3300.0
263,266,other,3 BHK,1464.0,3.0,2.0,46.0,3,3142.0765027322404
264,267,Hennur Road,3 BHK,1866.0,2.0,2.0,61.58,3,3300.10718113612
265,268,other,2 BHK,700.0,1.0,1.0,26.0,2,3714.285714285714
266,269,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0,3,6651.884700665189
267,270,Sarjapur,2 BHK,913.0,2.0,1.0,32.0,2,3504.9288061336256
268,271,Talaghattapura,3 BHK,1868.0,3.0,2.0,131.0,3,7012.847965738758
269,272,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45.0,2,5096.262740656852
270,273,other,2 Bedroom,900.0,2.0,1.0,110.0,2,12222.222222222223
271,274,Kogilu,3 BHK,1664.0,2.0,3.0,73.95,3,4444.110576923077
272,275,Hegde Nagar,3 BHK,2026.0,3.0,2.0,132.0,3,6515.301085883514
273,276,Balagere,2 BHK,1210.0,2.0,1.0,80.9,2,6685.950413223141
274,277,other,4 Bedroom,4111.0,4.0,2.0,250.0,4,6081.24543906592
275,278,Kadugodi,3 BHK,1762.0,3.0,3.0,91.45,3,5190.124858115778
276,279,Jigani,3 BHK,1252.0,3.0,3.0,55.0,3,4392.97124600639
277,280,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5,2,4006.968641114983
278,281,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100.0,3,7042.2535211267605
279,282,other,6 Bedroom,1450.0,6.0,0.0,250.0,6,17241.379310344826
280,283,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78.8,3,5288.5906040268455
281,284,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,46.0,3,4279.069767441861
282,285,Old Madras Road,3 BHK,1425.0,2.0,2.0,94.0,3,6596.491228070176
283,286,Kalena Agrahara,2 BHK,1200.0,2.0,1.0,40.0,2,3333.3333333333335
284,287,Kaggadasapura,3 BHK,1280.0,2.0,2.0,56.0,3,4375.0
285,288,other,2 BHK,1084.0,2.0,2.0,50.0,2,4612.546125461255
286,289,Chandapura,2 BHK,1015.0,2.0,2.0,25.88,2,2549.753694581281
287,290,Kanakpura Road,2 BHK,1017.0,2.0,1.0,51.25,2,5039.331366764995
288,291,Haralur Road,2 BHK,1027.0,2.0,2.0,44.0,2,4284.323271665044
289,292,Electronic City Phase II,2 BHK,1069.0,2.0,2.0,45.0,2,4209.541627689429
290,293,Hebbal,2 BHK,1349.0,2.0,1.0,98.2,2,7279.466271312083
291,294,9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,50.0,2,4975.124378109453
292,295,Jakkur,2 BHK,1417.0,2.0,3.0,75.0,2,5292.87226534933
293,296,TC Palaya,3 Bedroom,1475.0,3.0,1.0,98.0,3,6644.067796610169
294,297,other,2 BHK,950.0,2.0,2.0,47.0,2,4947.368421052632
295,298,other,4 BHK,2000.0,4.0,0.0,120.0,4,6000.0
296,299,Giri Nagar,3 Bedroom,880.0,3.0,1.0,140.0,3,15909.09090909091
297,300,Sarjapur  Road,4 BHK,1863.0,3.0,2.0,104.0,4,5582.393988191089
298,301,Singasandra,2 BHK,1010.0,2.0,1.0,29.5,2,2920.792079207921
299,302,Kalena Agrahara,3 BHK,1425.0,2.0,1.0,70.0,3,4912.2807017543855
300,303,Vijayanagar,3 BHK,1450.0,3.0,0.0,100.0,3,6896.551724137931
301,304,Kothanur,3 BHK,1847.0,3.0,2.0,105.0,3,5684.89442338928
302,305,AECS Layout,2 BHK,1100.0,2.0,3.0,45.0,2,4090.909090909091
303,306,Kanakpura Road,1 BHK,525.0,1.0,1.0,26.0,1,4952.380952380952
304,307,Mallasandra,3 BHK,1665.0,3.0,2.0,95.0,3,5705.705705705705
305,308,Begur,4 BHK,1664.0,4.0,3.0,65.0,4,3906.25
306,309,JP Nagar,3 BHK,1850.0,3.0,3.0,150.0,3,8108.108108108108
307,310,Panathur,2 BHK,1438.0,2.0,3.0,100.0,2,6954.102920723227
308,311,other,3 BHK,1560.0,3.0,3.0,115.0,3,7371.794871794872
309,312,Yelahanka,2 BHK,1350.0,2.0,1.0,55.55,2,4114.814814814815
310,313,Kanakpura Road,3 BHK,1550.0,3.0,3.0,67.0,3,4322.580645161291
311,314,Malleshpalya,2 BHK,1140.0,2.0,2.0,46.5,2,4078.9473684210525
312,315,other,5 Bedroom,1200.0,5.0,2.0,180.0,5,15000.0
313,316,other,2 BHK,850.0,2.0,2.0,27.0,2,3176.470588235294
314,317,Whitefield,2 BHK,1280.0,2.0,2.0,75.0,2,5859.375
315,318,Munnekollal,2 BHK,1170.0,2.0,2.0,52.0,2,4444.444444444444
316,319,other,2 BHK,1113.0,2.0,1.0,51.0,2,4582.210242587601
317,320,Hennur Road,2 BHK,1385.0,2.0,1.0,83.09,2,5999.27797833935
318,321,Electronic City,2 BHK,1128.0,2.0,1.0,65.0,2,5762.41134751773
319,322,Marathahalli,2 Bedroom,1200.0,2.0,2.0,128.0,2,10666.666666666666
